name,id,nametype,recclass,fall,year,reclat,reclong,mass (Kg)
as-Su'aydan,2354,Valid,OC,Found,1960,21.25417,55.305,5.855
Soheria,23660,Valid,OC,Fell,1960,27.13333,84.06667,0.0729
Venus,24160,Valid,OC,Found,1960,32.4,-97.08333,1.013
Midland,16633,Valid,UN,Found,1960,44.75,-79.88333,0.034
Um Habib,24111,Valid,OC,Found,1960,21.5,50.5,0.696
De Hoek,6622,Valid,UN,Found,1960,-29.38333,23.1,20.93
Stoneham,31330,Valid,OC,Found,1960,40.63783,-103.69717,5.0
Ellicott,10021,Valid,NMIM,Found,1960,38.80778,-104.56944,15.7
Brownfield (iron),5154,Valid,MIM,Found,1960,33.21667,-102.18333,1.626
Woolgorong,24334,Valid,OC,Fell,1960,-27.75,115.83333,36.0
São João Nepomuceno,23170,Valid,MIM,Found,1960,-21.55,-43.01667,15.3
Arrabury,2337,Valid,OC,Found,1960,-26.5,141.08333,5.3
Barbianello,4941,Valid,UN,Found,1960,45.05778,9.19556,0.86
Itutinga,12059,Valid,MIM,Found,1960,-21.33333,-44.66667,3.2
Watonga,55758,Valid,OC,Found,1960,35.833333,-98.4,5.025
Selden,23484,Valid,OC,Found,1960,39.53333,-100.56667,1.56
Millbillillie,16643,Valid,AA,Fell,1960,-26.45,120.36667,330.0
Riverton,22613,Valid,OC,Found,1960,50.94,-96.99167,0.1033
Bruderheim,5156,Valid,OC,Fell,1960,53.9,-112.88333,303.0
Muenatauray,16842,Valid,MIM,Found,1960,4.9,-61.2,30.0
al-Ghanim (stone),469,Valid,OC,Found,1960,19.7,53.96667,3.755
Cleo Springs,5378,Valid,OC,Found,1960,36.43333,-98.43333,24.0
Richa,22598,Valid,MIM,Found,1960,10.0,9.0,1.5
al-Ghanim (iron),468,Valid,MIM,Found,1960,19.83333,54.08333,0.5
Calcalong Creek,5194,Valid,OC,Found,1960,-26.45,120.36667,0.019
Odessa (stone),17986,Valid,OC,Found,1960,46.5,30.76667,1.926
Batesland,4973,Valid,OC,Found,1961,43.13333,-102.1,2.5
ash-Shalfah,2350,Valid,OC,Found,1961,21.875,49.71944,0.935
Harleton,11830,Valid,OC,Fell,1961,32.675,-94.51167,8.36
Anoka,2307,Valid,NMIM,Found,1961,45.2,-93.43333,1.108
Ras Tanura,22395,Valid,OC,Fell,1961,26.66667,50.15,0.0060999999999999995
Sweetwater,23770,Valid,OC,Found,1961,32.55,-100.41667,1.76
Kulak,12369,Valid,OC,Fell,1961,30.73111,66.80222,0.4536
Oshkosh,18036,Valid,OC,Found,1961,44.07694,-88.56278,0.1448
Djermaia,7656,Valid,OC,Fell,1961,12.73333,15.05,3.95
Duncanville,7744,Valid,OC,Found,1961,32.63333,-96.86667,17.8
Kennard,12279,Valid,OC,Found,1961,41.48333,-96.16667,8.2
Lazarev,12745,Valid,UN,Found,1961,-71.95,11.5,10.0
Akron (1961),431,Valid,OC,Found,1961,40.15,-103.16667,4.0
Rhineland,22595,Valid,OC,Found,1961,33.53333,-99.61667,6.24
Clovis (no. 1),5385,Valid,OC,Found,1961,34.3,-103.13472,283.0
Ehole,7774,Valid,OC,Fell,1961,-17.3,15.83333,2.4
Lake Bonney,12436,Valid,OC,Found,1961,-37.75,140.3,2.75
Eunice,10064,Valid,OC,Found,1961,34.47,-101.75833,2.3
Seminole,23488,Valid,OC,Found,1961,32.68333,-102.61667,43.9
Caldwell,5197,Valid,OC,Found,1961,37.03333,-97.625,12.9
Kargapole,12261,Valid,OC,Found,1961,55.88333,64.3,21.8
ad-Dahbubah,376,Valid,OC,Found,1961,19.83333,51.25,90.0
Kayakent,12268,Valid,MIM,Fell,1961,39.26333,31.78,85.0
Leoville,12766,Valid,CC,Found,1961,39.63333,-100.46722,8.1
Bells,5005,Valid,CC,Fell,1961,33.6,-96.46667,0.375
Canyonlands,5258,Valid,OC,Found,1961,38.18333,-109.88333,1.52
North Haig,17004,Valid,AA,Found,1961,-30.21667,126.21667,0.964
Finney,10104,Valid,OC,Found,1962,34.26667,-101.56667,10.7
Emery,10031,Valid,MG,Found,1962,43.56333,-97.58333,16.7
Efremovka,7772,Valid,CC,Found,1962,52.5,77.0,21.0
São Jose do Rio Preto,23171,Valid,OC,Fell,1962,-20.81,-49.38056,0.927
Acomita,372,Valid,P,Found,1962,35.05,-107.56667,3.956
Bowesmont,5124,Valid,OC,Found,1962,48.68333,-97.16667,2.27
Dosso,7722,Valid,OC,Fell,1962,13.05,3.16667,1.25
Zagami,30386,Valid,M,Fell,1962,11.73333,7.08333,18.0
Desuri,6693,Valid,OC,Fell,1962,25.73333,73.61667,25.4
Nora Creina,16990,Valid,OC,Found,1962,-37.31667,139.85,0.2835
Coronel Arnold,5445,Valid,OC,Found,1962,-33.06667,-61.0,0.45
Coonana,5437,Valid,OC,Found,1962,-29.85,140.7,6.8
Needles,16936,Valid,MIM,Found,1962,34.44417,-114.8325,45.3
Billygoat Donga,5048,Valid,OC,Found,1962,-30.13333,126.36667,0.893
Clifford,5380,Valid,OC,Found,1962,39.1,-103.25833,11.36
Bogou,5097,Valid,NMIM,Fell,1962,12.5,0.7,8.8
Budulan,5161,Valid,MG,Found,1962,50.56667,114.9,100.0
Manitouwabing,15406,Valid,MIM,Found,1962,45.44,-79.87556,39.0
Loop,14702,Valid,OC,Found,1962,32.9,-102.28333,5.6
Oberon Bay,17977,Valid,OC,Found,1962,-39.06667,146.35,0.179
Williston,24275,Valid,MIM,Found,1962,47.98333,-103.65,7.645
Hunter,11987,Valid,OC,Found,1962,36.56,-97.66667,74.6
Shields,23533,Valid,OC,Found,1962,38.7,-100.35,9.78
Valkeala,24150,Valid,OC,Found,1962,61.05,26.83333,4.0
Kiel,12301,Valid,OC,Fell,1962,54.4,10.15,0.7376
Balfour Downs,4927,Valid,NMIM,Found,1962,-22.75,120.83333,2.4
Sierra County,23589,Valid,OC,Found,1962,33.0,-107.5,1.0
Two Buttes (a),24091,Valid,OC,Found,1962,37.63333,-102.41667,19.7
Vulcan,24192,Valid,OC,Found,1962,50.51667,-113.13333,19.0
Sleeper Camp 001,23627,Valid,OC,Found,1962,-30.25,126.33333,1.25
Thiel Mountains,23911,Valid,P,Found,1962,-85.45,-90.0,31.7
Rowena,22772,Valid,OC,Found,1962,-29.8,148.63333,34.7
Seagraves,23469,Valid,OC,Found,1962,32.93333,-102.58333,13.0
Slovak,23647,Valid,OC,Found,1962,34.65,-91.58333,8.22
Ste. Marguerite,23099,Valid,OC,Fell,1962,50.76667,3.0,4.96
Toulon,24035,Valid,OC,Found,1962,41.11667,-89.80833,1.2145
Northampton,17009,Valid,UN,Found,1963,42.31667,-72.63333,0.353
Monte Colina,16724,Valid,OC,Found,1963,-29.4,139.98333,0.1168
Fremont Butte,10181,Valid,OC,Found,1963,38.5,-105.5,6.647
Hoxie,11915,Valid,OC,Fell,1963,39.35,-100.45,0.2661
Waka,24200,Valid,OC,Found,1963,36.15,-101.05,11.875
Inner Mongolia,12037,Valid,OC,Fell,1963,41.0,112.0,3.0
Zaisan,30388,Valid,OC,Fell,1963,47.5,83.0,0.463
Salla,23110,Valid,OC,Found,1963,66.8,28.45,7.0
Lahoma,12432,Valid,OC,Found,1963,36.38333,-98.08333,21.8
Plainview (c),18843,Valid,OC,Found,1963,34.125,-101.75667,0.631
Hassayampa,11851,Valid,OC,Found,1963,33.75,-112.66667,16.0
Lucerne Valley 001,14725,Valid,OC,Found,1963,34.5,-116.95,0.0158
Lucerne Valley 003,14727,Valid,OC,Found,1963,34.5,-116.95,0.0075
Carnegie,5278,Valid,OC,Found,1963,35.16667,-98.64389,132.7
Warburton Range,24212,Valid,MIM,Found,1963,-26.28333,126.66667,56.93
Mulberry Draw,16845,Valid,OC,Found,1963,35.63333,-100.13333,9.716
Tobe,24014,Valid,OC,Found,1963,37.2,-103.58333,5.386
Talpa,23793,Valid,OC,Found,1963,31.86667,-99.58333,13.0
Mosquero,16757,Valid,OC,Found,1963,35.75,-103.93333,1.8
